Year,Municipality,Math_grade_rate_result,Other Parties,The Centre Party,The Christian Democratic Party,The Green Party,The Left Party,The Liberal Party,The Moderate Party,The Social Democratic Party,The Sweden Democrats,Average_income,Income_inequality,Lower_education_percentage,Higher_education_percentage,Higher_to_lower_education_ratio,education_share,Population,Population_growth_rate
2015,Avesta,86.9,7.32,7.32,2.44,2.44,4.88,2.44,12.2,51.22,9.76,8.9,348.1,8.34,8.22,0.9857,1862.08,22009.0,-0.02782808427934096
2015,Borlänge,82.9,3.28,8.2,3.28,4.92,6.56,3.28,14.75,36.07,19.67,9.6,337.1,9.61,10.57,1.0989,5390.1,50595.0,-0.008232872684504558
2015,Falun,89.8,3.28,11.48,1.64,6.56,8.2,6.56,21.31,32.79,8.2,9.4,369.5,11.4,16.66,1.462,9509.11,56906.0,-0.0026989134244654748
2015,Gagnef,94.4,20.0,20.0,2.86,5.71,2.86,2.86,11.43,25.71,8.57,8.5,352.9,8.91,10.36,1.1629,1042.09,9986.0,-0.007355864811133201
2015,Hedemora,93.4,9.76,17.07,0.0,4.88,7.32,2.44,17.07,31.71,9.76,10.4,335.4,8.65,8.92,1.032,1356.09,15081.0,-0.007763668662412001
2015,Leksand,88.0,8.16,22.45,12.24,6.12,6.12,2.04,12.24,24.49,6.12,9.5,370.4,10.82,12.86,1.1884,1968.11,15239.0,-0.003921824955879469
2015,Ludvika,90.0,2.22,4.44,0.0,6.67,8.89,2.22,22.22,37.78,15.56,8.6,339.2,8.32,10.99,1.3209,2894.08,25950.0,-0.014132664691132892
2015,Malung-Sälen,91.5,5.13,10.26,0.0,0.0,10.26,7.69,23.08,38.46,5.13,9.9,353.8,7.82,7.84,1.0026,782.08,9934.0,-0.003810669875651825
2015,Mora,83.7,9.76,26.83,2.44,4.88,4.88,2.44,12.2,29.27,7.32,8.9,354.1,9.54,11.34,1.1886,2275.1,20000.0,-0.002841900583337488
2015,Orsa,91.2,0.0,38.71,3.23,3.23,6.45,3.23,3.23,25.81,16.13,10.6,323.0,8.78,9.61,1.0946,648.09,6816.0,0.010376519418914912
2015,Rättvik,88.8,0.0,33.33,2.56,5.13,5.13,2.56,12.82,30.77,7.69,9.6,355.9,9.78,10.23,1.0455,1102.1,10739.0,-0.0035260276514800038
2015,Smedjebacken,93.1,0.0,14.29,0.0,8.57,5.71,2.86,17.14,42.86,8.57,8.6,346.5,7.93,8.27,1.0422,890.08,10693.0,-0.00650376289138716
2015,Säter,87.5,0.0,17.14,2.86,2.86,5.71,5.71,14.29,40.0,11.43,7.8,363.7,9.04,10.47,1.1588,1153.09,10865.0,-0.013080207103279135
2015,Vansbro,84.5,6.45,35.48,9.68,0.0,6.45,3.23,3.23,32.26,3.23,10.1,334.6,6.83,6.8,0.9956,456.07,6695.0,-0.0013424821002386634
2015,Älvdalen,92.9,5.71,22.86,0.0,2.86,0.0,0.0,11.43,48.57,8.57,9.9,327.8,6.87,6.98,1.0165,492.07,7067.0,0.002695800227014756
2016,Avesta,88.2,7.32,7.32,2.44,2.44,4.88,2.44,12.2,51.22,9.76,8.6,341.3,8.35,8.49,1.0166,1956.08,22639.0,-0.01766033151089126
2016,Borlänge,84.8,3.28,8.2,3.28,4.92,6.56,3.28,14.75,36.07,19.67,8.9,339.8,9.69,10.77,1.1108,5542.1,51015.0,-0.009051883219051688
2016,Falun,91.8,3.28,11.48,1.64,6.56,8.2,6.56,21.31,32.79,8.2,9.1,370.4,11.65,17.01,1.4602,9789.12,57060.0,-0.008410955095231475
2016,Gagnef,96.2,20.0,20.0,2.86,5.71,2.86,2.86,11.43,25.71,8.57,7.2,362.2,9.15,10.46,1.1433,1061.09,10060.0,-0.008085190297771643
2016,Hedemora,85.1,9.76,17.07,0.0,4.88,7.32,2.44,17.07,31.71,9.76,9.4,348.4,8.76,9.1,1.0393,1401.09,15199.0,-0.012282297894463218
2016,Leksand,92.5,8.16,22.45,12.24,6.12,6.12,2.04,12.24,24.49,6.12,9.1,380.4,10.85,13.15,1.2124,2032.11,15299.0,-0.009581148443063379
2016,Ludvika,92.2,2.22,4.44,0.0,6.67,8.89,2.22,22.22,37.78,15.56,8.2,343.0,8.42,10.96,1.3016,2935.08,26322.0,-0.017139016466898173
2016,Malung-Sälen,89.8,5.13,10.26,0.0,0.0,10.26,7.69,23.08,38.46,5.13,9.7,358.6,7.96,8.1,1.0175,812.08,9972.0,-0.0051875498802873106
