Year,Municipality,Math_grade_rate_result,Other Parties,The Centre Party,The Christian Democratic Party,The Green Party,The Left Party,The Liberal Party,The Moderate Party,The Social Democratic Party,The Sweden Democrats,Average_income,Income_inequality,Median_income,Lower_education_count,Higher_education_count,Total_population,Lower_education_percentage,Higher_education_percentage,Higher_to_lower_education_ratio,Population,Previous_population,Population_growth_rate,Population_growth
2015,Avesta,86.9,7.000000000000001,7.000000000000001,2.0,2.0,5.0,2.0,12.0,51.0,10.0,8.9,348.1,326.2,1889.0,1862.0,22639.0,8.34,8.22,0.9857,22009.0,22639.0,-0.02782808427934096,-630.0
2015,Borlänge,82.9,3.0,8.0,3.0,5.0,7.000000000000001,3.0,15.0,36.0,20.0,9.6,337.1,315.1,4905.0,5390.0,51015.0,9.61,10.57,1.0989,50595.0,51015.0,-0.008232872684504558,-420.0
2015,Falun,89.8,3.0,11.0,2.0,7.000000000000001,8.0,7.000000000000001,21.0,33.0,8.0,9.4,369.5,327.8,6504.0,9509.0,57060.0,11.4,16.66,1.462,56906.0,57060.0,-0.0026989134244654748,-154.0
2015,Gagnef,94.4,20.0,20.0,3.0,6.0,3.0,3.0,11.0,26.0,9.0,8.5,352.9,323.8,896.0,1042.0,10060.0,8.91,10.36,1.1629,9986.0,10060.0,-0.007355864811133201,-74.0
2015,Hedemora,93.4,10.0,17.0,0.0,5.0,7.000000000000001,2.0,17.0,32.0,10.0,10.4,335.4,314.0,1314.0,1356.0,15199.0,8.65,8.92,1.032,15081.0,15199.0,-0.007763668662412001,-118.0
2015,Leksand,88.0,8.0,22.0,12.0,6.0,6.0,2.0,12.0,24.0,6.0,9.5,370.4,333.4,1656.0,1968.0,15299.0,10.82,12.86,1.1884,15239.0,15299.0,-0.003921824955879469,-60.0
2015,Ludvika,90.0,2.0,4.0,0.0,7.000000000000001,9.0,2.0,22.0,38.0,16.0,8.6,339.2,319.5,2191.0,2894.0,26322.0,8.32,10.99,1.3209,25950.0,26322.0,-0.014132664691132892,-372.0
2015,Malung-Sälen,91.5,5.0,10.0,0.0,0.0,10.0,8.0,23.0,38.0,5.0,9.9,353.8,326.1,780.0,782.0,9972.0,7.82,7.84,1.0026,9934.0,9972.0,-0.003810669875651825,-38.0
2015,Mora,83.7,10.0,27.0,2.0,5.0,5.0,2.0,12.0,28.999999999999996,7.000000000000001,8.9,354.1,324.7,1914.0,2275.0,20057.0,9.54,11.34,1.1886,20000.0,20057.0,-0.002841900583337488,-57.0
2015,Orsa,91.2,0.0,39.0,3.0,3.0,6.0,3.0,3.0,26.0,16.0,10.6,323.0,304.2,592.0,648.0,6746.0,8.78,9.61,1.0946,6816.0,6746.0,0.010376519418914912,70.0
2015,Rättvik,88.8,0.0,33.0,3.0,5.0,5.0,3.0,13.0,31.0,8.0,9.6,355.9,317.3,1054.0,1102.0,10777.0,9.78,10.23,1.0455,10739.0,10777.0,-0.0035260276514800038,-38.0
2015,Smedjebacken,93.1,0.0,14.000000000000002,0.0,9.0,6.0,3.0,17.0,43.0,9.0,8.6,346.5,326.5,854.0,890.0,10763.0,7.93,8.27,1.0422,10693.0,10763.0,-0.00650376289138716,-70.0
