Year,Municipality,Math_grade_rate_result,Left_share,Right_share,Median_income,Average_income,Lower_education_percentage,Population_growth_rate
2015,Avesta,86.9,58.54,24.4,326.2,8.9,8.34,-0.027828084
2015,Borlänge,82.9,47.55,37.7,315.1,9.6,9.61,-0.008232873
2015,Falun,89.8,47.55,31.15,327.8,9.4,11.4,-0.002698913
2015,Gagnef,94.4,34.28,22.86,323.8,8.5,8.91,-0.007355865
2015,Hedemora,93.4,43.91,26.83,314,10.4,8.65,-0.007763669
2015,Leksand,88,36.73,30.6,333.4,9.5,10.82,-0.003921825
2015,Ludvika,90,53.34,37.78,319.5,8.6,8.32,-0.014132665
2015,Malung-Sälen,91.5,48.72,28.21,326.1,9.9,7.82,-0.00381067
2015,Mora,83.7,39.03,21.96,324.7,8.9,9.54,-0.002841901
2015,Orsa,91.2,35.49,22.59,304.2,10.6,8.78,0.010376519
2015,Rättvik,88.8,41.03,23.07,317.3,9.6,9.78,-0.003526028
2015,Smedjebacken,93.1,57.14,25.71,326.5,8.6,7.93,-0.006503763
2015,Säter,87.5,48.57,28.58,328.3,7.8,9.04,-0.013080207
2015,Vansbro,84.5,38.71,16.14,303.1,10.1,6.83,-0.001342482
2015,Älvdalen,92.9,51.43,20,314.4,9.9,6.87,0.0026958
2016,Avesta,88.2,58.54,24.4,323.7,8.6,8.35,-0.017660332
2016,Borlänge,84.8,47.55,37.7,315.9,8.9,9.69,-0.009051883
2016,Falun,91.8,47.55,31.15,326.6,9.1,11.65,-0.008410955
2016,Gagnef,96.2,34.28,22.86,328.8,7.2,9.15,-0.00808519
2016,Hedemora,85.1,43.91,26.83,316.6,9.4,8.76,-0.012282298
2016,Leksand,92.5,36.73,30.6,338.8,9.1,10.85,-0.009581148
2016,Ludvika,92.2,53.34,37.78,319.3,8.2,8.42,-0.017139016
2016,Malung-Sälen,89.8,48.72,28.21,329.2,9.7,7.96,-0.00518755
2016,Mora,80.1,39.03,21.96,329.6,8.1,9.87,-0.00909046
2016,Orsa,100,35.49,22.59,308.1,10.1,8.94,-0.012443273
2016,Rättvik,98.9,41.03,23.07,321.5,8.8,9.91,-0.004893813
2016,Smedjebacken,89.9,57.14,25.71,330.7,7.7,8.23,-0.009570259
2016,Säter,91.8,48.57,28.58,332.9,8,9.22,-0.006497609
2016,Vansbro,87.1,38.71,16.14,313,8.2,7.04,-0.014262608
2016,Älvdalen,93.1,51.43,20,320.7,8.5,7.12,0.001278591
2017,Avesta,80.4,58.54,24.4,323.3,8.6,8.29,-0.005437597
2017,Borlänge,81.1,47.55,37.7,316.5,8.6,9.83,-0.007748203
2017,Falun,88.3,47.55,31.15,329.8,8.7,11.71,-0.012086252
2017,Gagnef,90.7,34.28,22.86,328.5,7.6,9.11,-0.0108261
2017,Hedemora,85.6,43.91,26.83,319.3,9,8.82,-0.008888316
2017,Leksand,88.2,36.73,30.6,336.1,8.6,10.94,-0.009236098
2017,Ludvika,83.5,53.34,37.78,320.7,7.7,8.45,-0.006786827
2017,Malung-Sälen,92.8,48.72,28.21,329.6,9.2,8.21,-0.00663958
2017,Mora,78.2,39.03,21.96,330.3,7.6,9.79,-0.00540514
2017,Orsa,91,35.49,22.59,307.5,10.4,9.16,-0.006977758
2017,Rättvik,98.1,41.03,23.07,324.5,8.4,9.97,0.001479564
2017,Smedjebacken,85.7,57.14,25.71,337.1,6.9,8.16,-0.00018401
2017,Säter,87.5,48.57,28.58,336.8,8.3,9.38,-0.008500358
2017,Vansbro,79.4,38.71,16.14,306,7.3,7.17,-0.001321586
2017,Älvdalen,92.4,51.43,20,317.4,9.5,7.24,-0.004384724
2018,Avesta,71.1,51.22,39.02,324.1,8,8.17,-0.007538119
2018,Borlänge,82.2,44.27,40.98,318.9,8,9.82,-0.005177075
2018,Falun,89.2,44.27,34.43,330.9,8.1,11.74,-0.010868089
2018,Gagnef,88.3,28.58,28.57,329.2,6.9,9.09,0.000195103
2018,Hedemora,87,36.59,34.14,317.1,9,8.81,0.005895692
2018,Leksand,82.6,28.57,32.65,338.3,8.5,11.18,-0.011538705
2018,Ludvika,85.8,46.66,40,320,7.9,8.52,-0.00044484
2018,Malung-Sälen,90.3,46.16,38.46,334.4,8.6,8.09,-0.001978044
2018,Mora,83.7,31.71,24.4,331.6,6.8,9.84,-0.000343845
2018,Orsa,75.9,35.49,22.58,311.5,9.8,8.96,-0.00260983
2018,Rättvik,90.4,30.77,35.89,329.6,8.5,10.05,-0.007616775
2018,Smedjebacken,96.7,57.14,28.58,339,6.8,8.19,-0.00110284
2018,Säter,91.9,40,34.29,332.9,7.3,9.36,0.0029615
2018,Vansbro,76.3,32.26,25.81,311.5,8.2,7.35,0.003093239
2018,Älvdalen,88.5,34.29,22.86,319.4,8.8,7.23,-0.006184987
2019,Avesta,79.3,51.22,39.02,326.1,7.4,8.22,0.007030408
2019,Borlänge,75.4,44.27,40.98,318.7,7.7,9.85,-0.006704123
2019,Falun,89.2,44.27,34.43,333.4,7.6,11.58,-0.008319019
2019,Gagnef,92.1,28.58,28.57,331.1,6.4,9.11,-0.005819028
2019,Hedemora,81.3,36.59,34.14,316.9,8.7,8.87,-0.002197944
2019,Leksand,80.6,28.57,32.65,338.2,7.6,11.06,-0.00284486
